lema,categoria,url,definicion,ejemplos,frases
hueso,nombre,https://diesgital.com/search?q=hueso,"en sentido figurado, cargo o puesto oficial que alguien consigue por influencia y enchufe",Está encantado porque consiguió un hueso trabajando en el gobierno. || Los huesos son órganos rígidos que forman el endoesqueleto de los animales vertebrados.,le dieron un hueso en la oficina del ministro
hueso,nombre,https://diesgital.com/search?q=hueso,"en sentido figurado, mujer que es y se comporta de forma muy severa, exigente e inflexible",Era una hueso de tomo y lomo: siempre suspendía a la mayoría de los alumnos de tercero.,la profe de mate es una hueso de tres pares
hueso,nombre,https://diesgital.com/search?q=hueso,"en sentido figurado, persona, equipo,institución, etc. muy difícil de vencer en una competición",A la tenista catalana le tocó un verdadero hueso: nada más y nada menos que la última campeona de Wimbledon.,ganarle cuota de mercado a ese hueso va a ser bastante difícil || a mi equipo le ha tocado un verdadero hueso en semifinales
hueso,nombre,https://diesgital.com/search?q=hueso,"en sentido figurado, hombre que es y se comporta de forma muy severa, exigente e inflexible",El profesor es un hueso; suspende a casi todos sus alumnos.,el jefe de mi hermana es un hueso y nadie se atreve a decirle nada || nos ha tocado un sargento que es un verdadero hueso
hueso,nombre,https://diesgital.com/search?q=hueso,"en sentido figurado, persona (hombre o mujer) que es y se comporta de forma muy severa, exigente e inflexible",Aunque no lo aprobemos los huesos son necesarios en cualquier organización.,"los jefes son siempre unos huesos || con esos huesos es muy difícil, por no decir imposible, trabajar en equipo"
hueso,nombre,https://diesgital.com/search?q=hueso,"en sentido figurado, color blanco amarillento, como el de los huesos","El hueso se ha usado bastante en esta obra, quizás porque es un color poco llamativo.",tenía las paredes pintadas de hueso || y le disgustaban los huesos de aquellas chaquetas
huevo,nombre,https://diesgital.com/search?q=huevo,"en sentido figurado, huevo que ponen las aves, especialmente la gallina, y que se toma como alimento","Ha desayunado dos huevos, pan tostado y zumo de naranja.",y comieron unos huevos con patatas fritas
huevo,nombre,https://diesgital.com/search?q=huevo,"en sentido figurado, cualquier cuerpo que tiene forma ovoide",El huevo al que se referían era un coche muy pequeño que parecía un huevo.,y compraron un huevo de chocolate
huevo,nombre,https://diesgital.com/search?q=huevo,"en sentido figurado, célula que resulta de la unión de los gametos masculinos y femeninos y a partir de la cual se desarrolla el embrión de un ser vivo; se usa en biología",Una vez el óvulo ha sido fecundado por el espermatozoide ya se conoce como huevo o cigoto.,y el huevo es el primer paso en el desarrollo del feto
huevo,nombre,https://diesgital.com/search?q=huevo,"en sentido figurado, célula sexual femenina o no; se usa en biología","El proceso de formación del huevo ocurre, exista o no fecundación.",y el huevo comienza a dividirse después de la fecundación
huevo,nombre,https://diesgital.com/search?q=huevo,"en sentido figurado, testículo de un hombre, que es la glándula sexual masculina de forma redondeada que produce los espermatozoides",Le dio una patada en los huevos y lo tiró al suelo.,y al chico se le veía un huevo || y estoy hasta los huevos de todos vosotros
huir,verbo,https://diesgital.com/search?q=huir,"en sentido figurado, pasar velozmente el tiempo","Mientras te afanas en tus ocupaciones, la vida huye deprisa hasta que te alcanza la muerte.",y los años huyen según vas abandonando la infancia || y los años parecen huir sin que nos demos cuenta
huir,verbo,https://diesgital.com/search?q=huir,"en sentido figurado, tratar de evitar a alguien o algo; va seguido por de",Ella huye de los refrescos desde que le dijeron que tiene un alto riesgo de contraer diabetes.,y si puede huye de las fiestas nocturnas || y huye de los periodistas
humano,adjetivo,https://diesgital.com/search?q=humano,"en sentido figurado, referido a una persona que siente atracción sexual por personas de sexo distinto al suyo",Pero esas son discotecas de humanos!,
hundir,verbo,https://diesgital.com/search?q=hundir,"en sentido figurado, hacer fracasar totalmente a alguien o algo",Las malas decisiones de los políticos españoles hundieron a muchas empresas.,y ha hundido la reputación de su antigua empresa
hundir,verbo,https://diesgital.com/search?q=hundir,"en sentido figurado, derrotar a alguien con estrépito, por ejemplo a sus argumentos o planteamientos",Hundieron al equipo rival marcando varios goles en los primeros minutos del partido.,y hundió todos los argumentos de sus oponentes
hundir,verbo,https://diesgital.com/search?q=hundir,"en sentido figurado, hacer bajo mucho algo relacionado con la economía, como los precios, la producción, los salarios, etc.; se usa en economía",La pandemia ha hundido los niveles de contratación en el país.,y las importaciones chinas han hundido los precios
hundir,verbo,https://diesgital.com/search?q=hundir,"en sentido figurado, causar un perjuicio grave a alguien o algo; puede ser un perjuicio económico, moral, intelectual, etc.","Hundieron a sus rivales con una estrategia totalmente novedosa. || Si él logra llegar a la presidencia, hundirá el país con deudas","y al no venir, me hundió en la miseria"
iglesia,nombre,https://diesgital.com/search?q=iglesia,"en sentido figurado, cualquier movimiento, institución o grupo de personas que siguen a alguien o algo y se confiesan partidarios incondicionales de los mismos",La iglesia sanchista es una secta española entregada al apostolado de la discordia.,y era un creyente más de la iglesia maradoniana || y a los brazos de la Santa Madre Iglesia Sanchista (antes PSOE)
